ProviderID,Name,SiteURL
266,IDCM,https://www.idcm.io
267,IDEX,https://idex.market
268,Independent Reserve,https://independentreserve.com
269,Indodax,https://indodax.com
270,InfinityCoin Exchange,https://infinitycoin.exchange
271,InPay,https://inpay.pl
272,Instant Bitex,https://instantbitex.com
273,IQFinex,https://www.iqfinex.com
274,Iquant,https://www.5iqt.org
275,ISX,https://beta.isx.is
276,itBit,https://itbit.com
277,Jinance,https://jinance.com.au
278,Kanga,https://kanga.exchange
279,Kineticex,https://www.kineticex.com
280,Koineks,https://koineks.com
281,Koinex,https://koinex.in
282,KoinFit,https://koinfit.com
283,Koinim,https://koinim.com
284,KoinOK,https://koinok.com
285,Kompler,https://www.kompler.exchange
286,Korbit,https://korbit.co.kr
287,Kraken,https://kraken.com
288,Kryptono,https://kryptono.exchange
289,Kucoin,https://kucoin.com
290,Kuna,https://kuna.io
291,Kyber Network,https://kyber.network
292,Labrotix,https://www.labrotix.com
293,LakeBTC,https://lakebtc.com
294,LATOKEN,https://latoken.com
295,LBank,https://lbank.info
296,LEOxChange,https://leoxchange.com
297,Lex,https://lex.exchange
298,LinkCoin,https://linkcoin.pro
299,Liqui,https://liqui.io
300,Liquid,https://www.liquid.com
301,LiteBit.eu,https://litebit.eu
302,Livecoin,https://livecoin.net
303,LocalBitcoins,https://localbitcoins.com
304,Luno,https://luno.com
305,Lykke Exchange,https://lykke.com/exchange.php
306,Maicoin Asset Exchange,https://max.maicoin.com
307,MapleChange,https://maplechange.com
308,Mercado Bitcoin,https://mercadobitcoin.com.br
309,Mercatox,https://mercatox.com
310,MercuriEx,https://mercuriex.com
311,Mercury Cash,https://mercury.cash
312,Mylocalcoin,https://mylocalcoin.com
313,Nanex,https://nanex.co
314,Nanu Exchange,https://www.nanu.exchange
315,NebliDex,https://www.neblidex.xyz
316,Negocie Coins,https://negociecoins.com.br
317,Neraex,https://neraex.com
318,NLexch,https://www.nlexch.com
319,Nocks,https://nocks.com
320,Novaexchange,https://novaexchange.com
321,Nuex,https://www.nuex.com
322,OasisDEX,https://oasisdex.com
323,OEX,https://www.oex.com
324,OKCoin,https://okcoin.com
325,OkCoin International,https://www.okcoin.com
326,OKCoin.cn,https://www.okcoin.cn
327,OKEX,https://okex.com
328,Omgfin,https://omgfin.com
329,Omicrex,https://omicrex.com
330,ooobtc,https://www.ooobtc.com
331,OpenLedger DEX,https://dex.openledger.io
332,Ore.Bz,https://ore.bz
333,OTCBTC,https://otcbtc.com
334,Ovis,https://www.ovis.com.tr
335,P2PB2B,https://p2pb2b.io
336,Panxora,https://panxora.io
337,Paribu,https://paribu.com
338,Paxful,https://paxful.com
339,PayCml,https://www.paycml.com
340,Paymium,https://www.paymium.com
341,PicoStocks,https://picostocks.com
342,Poloniex,https://poloniex.com
343,PrimeXBT,https://primexbt.com
344,ProBit Exchange,https://www.probit.com
345,ProBitEX,https://probitex.com
346,PurCow,https://www.purcow.io
347,QB,https://www.qb.com
348,QBTC,https://www.qbtc.ink
349,Qryptos,https://qryptos.com
350,qTrade,https://qtrade.io
351,QuadrigaCX,https://quadrigacx.com
352,Quoinex,https://quoinex.com
353,Radar Relay,https://radarrelay.com
354,Raido Finance,https://raidofinance.eu
355,Raisex,https://raisex.io
356,Rekeningku,https://www.rekeningku.com
357,Remitano,https://remitano.com
358,RightBTC,https://rightbtc.com
359,Robinhood,https://robinhood.com
360,SafeTrade,https://Safe.trade
361,Satang Pro (TDAX),https://satang.pro
362,Satowallet,https://satowallet.com
363,Saturn Network,https://saturn.network
364,SecondBTC,https://secondbtc.com
365,ShapeShift,https://shapeshift.io
366,SHORTEX,https://shortex.net
367,Simex,https://simex.global
368,Singbit,https://singbit.sg
369,Sistemkoin,https://sistemkoin.com
370,SouthXchange,https://www.southxchange.com
371,Stellarport,https://stellarport.io
372,STEX,https://www.stex.com
373,Stronghold,https://stronghold.co
374,Swiftex,https://www.swiftex.co
375,Switchain,https://switchain.com
376,Switcheo Network,https://switcheo.network
377,The Rock Trading,https://therocktrading.com
378,Thore Exchange,https://thoreexchange.com
379,Tidebit,https://tidebit.com
380,Tidex,https://tidex.com
381,Token Store,https://token.store
382,token.store,https://token.store
383,Tokenjar,https://tokenjar.io
384,Tokenmom,https://www.tokenmom.com
385,Tokenomy,https://tokenomy.com
386,Tokens.net,https://www.tokens.net
387,Tokocrypto,https://tokocrypto.com
388,TOKOK,https://www.tokok.com
389,TOKPIE,https://tokpie.io
390,TOPBTC,https://topbtc.com
391,Trade By Trade,https://tradebytrade.com
392,Trade Crypto King,https://www.tradecryptoking.com
393,Trade Satoshi,https://tradesatoshi.com
394,Trade.io,https://exchange.trade.io
395,TradeCX,https://tradecx.io
396,TradeOgre,https://tradeogre.com
