Symbol,Name,BlockchainName
SUB,Substratum,Ethereum
MEETONE,MEET.ONE,EOS
LND,Lendingblock,Ethereum
XBASE,Eterbase Coin,Ethereum
AFIN,Asian Fintech,Ethereum
CPT,Cryptaur,Ethereum
UKG,Unikoin Gold,Ethereum
ADT,adToken,Ethereum
ART,Maecenas,Ethereum
PI,PCHAIN,Ethereum
GEN,DAOstack,Ethereum
MVL,MVL,Ethereum
PRA,ProChain,Ethereum
MXC,Machine Xchange Coin,Ethereum
HBX,HashBX,Ethereum
ISR,Insureum,Ethereum
CPC,CPChain,Ethereum
LUN,Lunyr,Ethereum
ABYSS,Abyss Token,Ethereum
DTX,DaTa eXchange,Ethereum
NOKU,Noku,Ethereum
CSNO,BitDice,Ethereum
SPANK,SpankChain,Ethereum
BLT,Bloom,Ethereum
QNTU,Quanta Utility Token,Ethereum
TCASH,TCASH,Ethereum
ATN,ATN,Ethereum
FLC,Flowchain,Ethereum
TEMCO,TEMCO,Ethereum
BOK,Blockium,Ethereum
FTI,FansTime,Ethereum
MRK,MARK.SPACE,Ethereum
IHT,IHT Real Estate Protocol,Ethereum
PBT,Primalbase Token,Waves
CZR,CanonChain,Ethereum
GRID,Grid+,Ethereum
NGC,NAGA,Ethereum
WWB,Wowbit,NEO
OVC,OVCODE,Ethereum
SCC,STEM CELL COIN,NEO
GARD,Hashgard,Ethereum
RUNE,THORChain,Binance Coin
REM,Remme,Ethereum
EOSDT,EOSDT,EOS
PCL,Peculium,Ethereum
SSP,Smartshare,Ethereum
EDG,Edgeless,Ethereum
NASH,NeoWorld Cash,Ethereum
INSTAR,Insights Network,Ethereum
IQN,IQeon,Ethereum
LRN,Loopring [NEO],NEO
AIDOC,AI Doctor,Ethereum
GENE,Gene Source Code Chain,Ethereum
XES,Proxeus,Ethereum
BOA,BOSAGORA,Ethereum
CPX,Apex,NEO
AMLT,AMLT,Ethereum
KICK,KickToken,Ethereum
MVP,Merculet,Ethereum
AMO,AMO Coin,Ethereum
ABL,Airbloc,Ethereum
VGW,VegaWallet Token,Ethereum
LIT,Lition,Ethereum
INK,Ink,Qtum
OPQ,Opacity,Ethereum
NSR,NuShares,NuBits
UBT,Unibright,Ethereum
1SG,1SG,Ethereum
HYT,HoryouToken,Ethereum
MGO,MobileGo,Ethereum
HLC,Qitmeer,Ethereum
HVN,Hiveterminal Token,Ethereum
PNK,Kleros,Ethereum
MYST,Mysterium,Ethereum
CLN,Colu Local Network,Ethereum
COV,Covesting,Ethereum
YEE,YEE,Ethereum
TRST,WeTrust,Ethereum
EVY,EveryCoin,Ethereum
TAS,Tarush,TRON
HSC,HashCoin,Ethereum
XDB,DigitalBits,Ethereum
KRL,Kryll,Ethereum
CV,carVertical,Ethereum
EFX,Effect.AI,EOS
CHP,CoinPoker,Ethereum
CRD,CryptalDash,Ethereum
SXUT,Spectre.ai Utility Token,Ethereum
SHA,Safe Haven,VeChain
SHIP,ShipChain,Ethereum
ELAC,ELA Coin,Ethereum
EDN,Eden,Ethereum
BOOM,BOOM,Ethereum
SKCH,Skychain,Ethereum
AZ,Azbit,Ethereum
LIKE,LikeCoin,Ethereum
IMT,Moneytoken,Ethereum
SPND,Spendcoin,Ethereum
MTN,Medicalchain,Ethereum
KT,Kuai Token,Ethereum
HXRO,Hxro,Ethereum
AXPR,aXpire,Ethereum
EXRN,EXRNchain,Ethereum
PARETO,PARETO Rewards,Ethereum
SHX,Stronghold Token,Stellar
MAS,MidasProtocol,Ethereum
AAC,Acute Angle Cloud,Ethereum
BXC,BonusCloud,Ethereum
NBC,Niobium Coin,Ethereum
FDZ,Friendz,Ethereum
BBK,Brickblock,Ethereum
HSN,Hyper Speed Network,Ethereum
DAX,DAEX,Ethereum
LML,Lisk Machine Learning,Ethereum
PLA,Plair,VeChain
FXT,FuzeX,Ethereum
CPAY,Cryptopay,Ethereum
NCC,NeuroChain,Ethereum
FTN,Fountain,Ethereum
UBEX,Ubex,Ethereum
SPC,SpaceChain,Qtum
EKO,EchoLink,Ethereum
WGP,W Green Pay,Ethereum
BTT,Blocktrade Token,Ethereum
AMON,AmonD,Ethereum
TFB,TrueFeedBack,Ethereum
DAGT,Digital Asset Guarantee Token,Ethereum
NOS,nOS,NEO
DACS,DACSEE,Ethereum
GAT,Global Awards Token,Ethereum
UGC,ugChain,Ethereum
CAN,CanYaCoin,Ethereum
PIB,PIBBLE,Ethereum
TIME,Chronobank,Ethereum
VSF,VeriSafe,Ethereum
TAU,Lamden,Ethereum
QCH,QChi,Ethereum
SWT,Swarm City,Ethereum
SWTH,Switcheo,NEO
TFL,TrueFlip,Ethereum
NOIA,NOIA Network,Ethereum
BKX,BANKEX,Ethereum
NEAL,Coineal Token,Ethereum
PXL,PIXEL,Ethereum
ALIS,ALIS,Ethereum
CEEK,CEEK VR,Ethereum
OSA,Optimal Shelf Availability Token,Ethereum
HOLD,HOLD,Ethereum
IONC,IONChain,Ethereum
TOL,Tolar,Ethereum
HMQ,Humaniq,Ethereum
CBC,CashBet Coin,Ethereum
LEO,LEOcoin,Ethereum
VZT,Vezt,Ethereum
BNTY,Bounty0x,Ethereum
KAT,Kambria,Ethereum
NTK,Neurotoken,Ethereum
GPYX,GoldenPyrex,Ethereum
FTX,FintruX Network,Ethereum
QBX,qiibee,Ethereum
BOMB,BOMB,Ethereum
MLC,Mallcoin,Ethereum
COVA,COVA,Ethereum
DAT,Datum,Ethereum
ROBET,RoBET,Ethereum
HORUS,HorusPay,EOS
NKC,Nework,Ethereum
CBM,CryptoBonusMiles,Binance Coin
UND,Unification,Ethereum
ATL,ATLANT,Ethereum
ZCO,Zebi,Ethereum
RTE,Rate3,Ethereum
CEN,Coinsuper Ecosystem Network,Ethereum
TRY,Trias,Ethereum
OIO,Online,Ethereum
SENC,Sentinel Chain,Ethereum
FNKOS,FNKOS,Ethereum
RMT,SureRemit,Stellar
STK,STK,Ethereum
FOTA,Fortuna,Ethereum
DIG,Dignity,Ethereum
GMB,GMB,Ethereum
NUG,Nuggets,Ethereum
RED,RED,Ethereum
WCT,Waves Community Token,Waves
KUBO,KuboCoin,Ethereum
GMB,GAMB,Ethereum
AMPL,Ampleforth,Ethereum
NEXT,Next.exchange,Ethereum
UQC,Uquid Coin,Ethereum
LEDU,Education Ecosystem,Ethereum
BCS,Business Credit Substitute,Ethereum
ZPR,ZPER,Ethereum
CXO,CargoX,Ethereum
KICKS,Sessia,Ethereum
CVN,CVCoin,BitShares
AID,AIDUS TOKEN,Ethereum
VNT,Vanta Network,Ethereum
BAX,BABB,Ethereum
CAPP,Cappasity,Ethereum
STA,Starta,Waves
SWACE,Swace,Ethereum
COFI,CoinFi,Ethereum
AKRO,Akropolis,Ethereum
CARD,Cardstack,Ethereum
BXY,Beaxy,Ethereum
PTON,PTON,Ethereum
ETBS,Ethbits,Ethereum
IGG,IG Gold,TRON
REAL,REAL,Ethereum
BCY,BitCrystals,Counterparty
1WO,1World,Ethereum
MESG,MESG,Ethereum
ROCK2,ICE ROCK MINING,Ethereum
ABDT,Atlantis Blue Digital Token,Stellar
XRA,Xriba,Ethereum
IPL,VouchForMe,Ethereum
DNA,EncrypGen,Ethereum
STX,Stox,Ethereum
FREE,FREE Coin,Ethereum
MTX,Matryx,Ethereum
UP,UpToken,Ethereum
TYPE,Typerium,Ethereum
FTT,FarmaTrust,Ethereum
WET,WeShow Token,Ethereum
DBET,DecentBet,VeChain
BCDT,Blockchain Certified Data Token,Ethereum
IVY,Ivy,Ethereum
ZLA,Zilla,Ethereum
RFOX,RedFOX Labs,Komodo
ORMEUS,Ormeus Coin,Ethereum
DATX,DATx,Ethereum
SVD,savedroid,Ethereum
WYS,wys Token,Ethereum
PAYX,Paypex,Ethereum
AWC,Atomic Wallet Coin,Ethereum
TNC,Trinity Network Credit,NEO
WIB,Wibson,Ethereum
WFX,Webflix Token,Ethereum
GEO,GeoCoin,Ubiq
0xBTC,0xBitcoin,Ethereum
C8,Carboneum [C8] Token,Ethereum
HKN,Hacken,Ethereum
PLU,Pluton,Ethereum
AOG,smARTOFGIVING,Ethereum
FACE,Faceter,Ethereum
UBC,Ubcoin Market,Ethereum
AC3,AC3,ICON
THRT,Thrive Token,Ethereum
IETH,iEthereum,Ethereum
HNB,HashNet BitEco,Ethereum
IFOOD,Ifoods Chain,Ethereum
OPEN,Open Platform,Ethereum
VDX,Vodi X,Ethereum
LEV,Leverj,Ethereum
OWN,OWNDATA,Ethereum
WNL,WinStars.live,Ethereum
DXT,Datawallet,Ethereum
EBC,EBCoin,Ethereum
AVT,Aventus,Ethereum
SS,Sharder,Ethereum
EVN,EvenCoin,Ethereum
INXT,Internxt,Ethereum
SPD,SPINDLE,Ethereum
AID,AidCoin,Ethereum
PROM,Prometeus,Ethereum
